City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,arkhangel'sk,64.5401,40.5433,-1.94,86,75,3.0,RU,1712616362
162,kamachumu,-1.6186,31.62,16.74,86,64,0.63,TZ,1712616560
163,sola,-13.8833,167.55,28.06,72,70,5.59,VU,1712616560
164,karratha,-20.7377,116.8463,25.15,56,58,11.12,AU,1712616528
165,hefei,31.8639,117.2808,11.01,93,52,2.0,CN,1712616438
166,mogadishu,2.0371,45.3438,28.78,73,100,2.37,SO,1712616561
167,geneseo,42.7959,-77.8169,15.68,59,100,2.61,US,1712616453
168,rutland,43.6167,-73.0162,12.38,45,100,0.36,US,1712616561
169,bermejo,-32.8833,-68.8,27.95,42,0,2.57,AR,1712616497
170,badger,64.8,-147.5333,1.32,67,75,5.14,US,1712616483
171,kasempa,-13.4584,25.8338,18.11,97,81,1.65,ZM,1712616561
172,bor,56.3567,44.0669,8.96,91,85,2.36,RU,1712616561
173,avarua,-21.2078,-159.775,27.03,83,75,6.69,CK,1712616469
174,flying fish cove,-10.4217,105.6791,26.82,78,75,4.12,CX,1712616467
175,noyabrsk,63.1994,75.4507,-5.98,95,100,4.47,RU,1712616561
176,kasongo,-4.45,26.6667,21.06,97,96,0.03,CD,1712616562
177,olonkinbyen,70.9221,-8.7187,-3.55,66,86,9.76,SJ,1712616562
178,luwingu,-10.2621,29.9271,17.84,96,100,1.61,ZM,1712616562
179,bolgatanga,10.7856,-0.8514,33.32,34,66,2.95,GH,1712616562
180,sirte,31.2089,16.5887,17.18,75,1,5.64,LY,1712616562
181,mil'kovo,55.6078,37.7956,13.08,81,100,2.42,RU,1712616562
182,arraial do cabo,-22.9661,-42.0278,25.92,78,40,6.69,BR,1712616562
183,gimbi,9.1667,35.8333,18.65,48,92,1.6,ET,1712616562
184,bengkulu,-3.8004,102.2655,24.77,92,91,1.71,ID,1712616562
185,yelwa,8.8333,9.6333,28.78,58,100,3.84,NG,1712616563
186,varzea da palma,-17.5981,-44.7308,21.56,70,32,1.49,BR,1712616563
187,gorontalo,0.5412,123.0595,24.83,92,92,1.29,ID,1712616563
